acc_y,acc_z,acc_mag,gyro_x,gyro_y,gyro_z,gyro_mag,punch,log_gyro_mag
2.34040917,7.634989672,8.011403221,1.597192573,1.140045582,1.862450703,30.70366664,0,3.424382082
2.465396887,8.166047477,8.562841136,3.069038834,4.303777862,5.526644399,83.29782379,0,4.422422424
3.428964194,8.986404989,14.14994063,121.5141308,129.5457135,64.32125884,2072.890278,1,7.636699182
1.325046608,9.893289273,10.37431089,68.62411409,78.06854326,27.40679537,1110.029552,0,7.012141917
2.662849645,7.48923706,8.110530671,3.771480803,7.876071437,3.274639021,99.25503698,0,4.597692669
2.764832004,7.782253358,8.366648337,1.589504476,2.144662289,1.507691745,35.3145853,0,3.56429606
2.464137461,7.115161556,7.627883645,1.019981278,0.857025689,0.863061081,19.21547408,0,2.955715896
1.857227836,8.68831712,9.730206639,45.36284642,70.87763868,33.70522581,926.5467227,0,6.831464474
2.355901155,9.343897082,12.68233244,121.8394906,138.4418457,55.87643209,2091.748227,1,7.645755468
1.966418118,7.641018872,8.02069377,22.47356298,20.05140568,13.05339947,350.2915096,0,5.858765692
2.654540378,7.674986094,8.179376617,2.441852433,5.322430126,3.059531417,77.19417701,0,4.346324027
2.756694883,7.707982985,8.260427896,1.840690756,2.517926035,2.454254342,44.05751827,0,3.785496014
2.581833944,7.754541867,8.283118413,4.437572292,4.587998471,5.114490099,91.67529546,0,4.518252937
3.437319824,10.81448042,14.72383423,145.7327978,140.5979995,72.68891481,2297.374792,1,7.739522355
1.723335369,10.26931598,11.06780351,72.96291622,70.07189949,36.93097596,1144.258278,0,7.042511914
3.025186412,7.306094206,8.062792881,6.325989348,7.425678453,13.76277577,175.0514651,0,5.165080017
2.76234718,7.077470252,7.813032157,1.557574758,1.020101778,2.588645373,34.4215891,0,3.538683958
2.785180433,7.305938454,8.05195232,1.023077316,0.421597795,1.928107249,23.27244301,0,3.147269957
2.519757104,8.149030195,8.723620799,10.19474795,9.177558971,15.95500912,220.17461,0,5.394420913
4.489877289,10.97822031,16.74108316,178.2810517,172.388133,76.37639446,2754.754721,1,7.921083687
2.096027483,9.367166033,10.04909464,40.78241862,65.64417734,37.5209962,895.8371685,0,6.797758665
2.78159363,7.59769281,8.453595819,2.875875595,6.96914638,7.380825913,109.8422345,0,4.699045104
2.562556137,7.729391906,8.49124468,3.667999481,2.582271634,2.552927639,55.64560325,0,4.019003067
2.21288674,7.569212101,8.169430389,6.187039607,4.716966585,6.019196624,111.0634779,0,4.710101911
3.513695966,10.54545938,12.5378069,74.04698958,82.76973739,71.62849429,1376.008245,1,7.22694201
3.846761558,11.22694846,17.11445171,111.7028683,120.2494865,57.19430362,1835.99655,1,7.515342692
2.331043714,6.715840643,7.252154997,8.541449153,4.23032583,6.342603121,119.0525062,0,4.779564624
3.021765139,7.232920322,8.082729107,2.63615051,2.122468077,1.478953819,43.15483297,0,3.764794415
2.912850918,7.488813224,8.359380139,2.152833303,2.170431395,1.976852379,40.7716659,0,3.707987377
2.432223769,9.584259315,10.54864569,60.11368558,69.50879196,51.74517769,1069.524951,1,6.974969858
1.894077114,10.32609689,13.30544399,172.0994997,113.0293124,41.8573366,2198.558833,0,7.695557349
2.166235936,7.797662919,8.333915805,16.02263095,24.77495815,25.7816156,399.5903501,0,5.990439898
2.611617431,6.908915205,7.74534153,2.67429625,1.963176565,2.20021646,46.59271965,0,3.841444298
2.755038112,7.494094955,8.309494776,1.616383884,3.329523141,3.454735977,54.85420869,0,4.004678915
5.635202425,9.814736122,14.60263858,139.9147611,149.0898852,73.24807411,2291.34894,1,7.73689598
6.18154131,4.734301106,8.568948234,48.13018527,28.15891102,9.745513299,585.1177743,1,6.371813151
4.12853676,5.159344867,7.390534866,67.66910444,24.35748283,20.48178579,760.7013876,1,6.634240886
1.68789975,8.584735526,9.032558233,40.433918,57.26915337,27.8487693,765.5001055,0,6.640529353
2.634065795,7.294817004,8.209450321,1.846436355,3.275566661,1.835003312,46.05275966,0,3.829787688
2.623861453,7.354674164,8.231005456,1.526873191,2.325011451,1.093102398,33.78662382,0,3.520064979
2.212492394,8.205955422,9.026252071,31.39328399,40.40812119,18.51494513,560.0968473,0,6.32810971
2.149636686,11.1405844,13.34941665,165.3002062,157.2627094,79.28380368,2632.669938,1,7.875753796
2.273793553,9.106430616,9.619521475,33.69212733,59.7133307,26.10188927,749.0016853,0,6.618741234
2.701170887,7.797429654,8.504765789,5.355008389,12.21872182,8.044439106,176.4213572,0,5.172875209
2.733078846,7.320212146,8.106789054,2.046241951,5.935792768,2.32809346,72.34786247,0,4.281485908
1.842149412,9.22951714,10.07324235,83.2776668,94.89581086,52.93663474,1442.285443,0,7.273984248
6.210735583,3.583916175,7.644730979,26.49142628,27.68296205,7.756550796,441.4396363,1,6.090041287
3.037516606,6.352975909,8.372588407,86.50443014,63.21211029,27.27159295,1171.257121,0,7.065832913
2.109142393,8.375493159,8.935157159,22.24358364,32.76620248,14.12906955,431.7118895,0,6.067758443
2.59900919,7.626142601,8.387234011,3.031765065,3.835153487,1.741652272,57.47364143,0,4.051326433
2.794929967,7.658748456,8.582053086,3.284607723,5.978588737,3.947556071,84.66729792,0,4.438729434
2.696867929,7.538921397,8.506997045,5.66736324,8.08165998,7.480919476,130.924079,0,4.874617606
3.42821499,12.02762445,17.51567804,199.6825518,176.474096,72.92299222,2942.181727,1,7.986906669
2.22215791,8.917443321,9.527766063,31.96760973,57.61896769,24.11180818,728.0794677,0,6.590410201
2.816129211,7.500456778,8.428185912,2.63207571,4.638590826,5.783484745,81.23548296,0,4.397352134
2.749292214,7.177941903,8.111964821,2.196233302,1.849160163,2.38399418,39.76147936,0,3.682898588
2.657267407,6.938919428,7.820519061,4.105869484,2.124103146,4.948941351,68.85517276,0,4.232005353
2.427053513,9.603722511,10.96359808,83.61147106,74.52868638,47.90044212,1284.503952,0,7.158127893
