acc_x,acc_y,acc_z,acc_mag,gyro_x,gyro_y,gyro_z,gyro_mag,punch
7.109427568,5.587504774,5.644629126,11.65050721,66.52655671,36.73792516,124.766274,1641.703324,1
4.79186872,6.353345301,5.865355655,10.12563869,34.09733977,19.13172208,23.82942369,535.3136301,1
3.329586579,6.589901096,4.664771624,8.740778592,3.314917201,3.112081359,3.749565436,67.89249683,0
2.926732223,6.765663276,4.473169543,8.636377885,8.124047299,14.59083531,18.85567041,263.2233278,0
3.281520619,6.621790826,4.318094811,8.560155254,3.332703973,4.135971084,7.799096989,95.99723684,0
4.633253015,5.79913842,4.983606326,9.044351008,10.1147679,7.591862409,21.68772889,280.0535587,0
6.002612739,5.049609454,5.513257054,10.64029396,59.06401352,27.12753392,124.4610564,1565.057413,1
5.530580971,5.441723218,6.646187731,10.25942484,43.0953588,11.53457372,21.8126709,549.060947,1
3.589670403,6.381636271,4.715149104,8.710934855,3.876789708,2.36432018,2.294781352,54.26662811,0
3.654010719,6.330665113,4.594750086,8.634452913,1.573896291,2.360844436,0.925821348,32.04312496,0
3.641491314,6.362789287,4.551299745,8.629758254,0.710869674,0.352545123,1.144326793,14.96363789,0
3.692217793,6.37899187,4.600199652,8.688466364,0.597645173,1.276523672,0.986404655,19.72289228,0
5.332888007,6.039434758,6.052765829,10.4314009,18.60539402,9.132059304,12.4624366,259.2981163,1
12.30502174,10.26337123,7.942512928,19.16107611,178.0626462,47.69194384,180.375824,2851.82172,1
3.629089492,6.530988164,4.843667488,8.94446478,6.894629338,4.902977703,8.089620319,131.3048392,0
3.365695353,6.674197678,4.414386728,8.683384397,2.893143673,1.311870815,1.358723344,38.17984815,0
3.442847822,6.729889939,4.51928194,8.810015016,0.815322088,0.926768992,2.932813265,34.63230546,0
14.5594196,6.668073985,7.861950914,19.15708545,157.9564298,62.55046835,174.8356789,2807.245328,1
4.654968717,6.254105822,5.961383982,9.958938195,19.82579665,10.14301918,15.40039561,298.2376877,1
3.849607054,6.481453569,4.450344794,8.759367202,2.553497285,2.657721664,2.819848476,55.50662816,0
3.714797908,6.382237973,4.363463641,8.578091001,1.272921746,1.284493762,0.902617238,22.91973143,0
3.826323741,6.503936632,4.38824723,8.730766823,1.296176209,2.378251883,1.886399304,38.97157768,0
7.368918304,6.359767368,5.859920184,12.24736547,64.73552401,30.64720694,78.22905634,1265.739203,1
6.466718356,6.004680352,6.870718219,11.33321432,61.47399765,25.59481964,67.60282521,1121.116443,1
3.25954638,6.788736746,4.103082649,8.587264154,5.919224774,4.952820729,4.878039464,106.3021233,0
3.571908042,6.672909796,4.156121907,8.636671237,1.635980113,2.071081207,1.270495194,31.89111574,0
